ServerId,ChargerId,Length,MessageType,SequenceNumber,DataLength,DeviceStatus_type,DeviceStatus,AccessId_type,AccessId,ChargerNumber_type,ChargerNumber,RegDt,Send,msgId
00,D88039EC48E0,000E,15,49,0A,01,0A,09,1066533632,33,0378,2021-08-25 04:52:27,R,316237794
00,D88039EC48E0,000E,15,4A,0A,01,0A,09,1066533632,33,0378,2021-08-25 05:02:27,R,316243524
00,D88039EC48E0,000E,15,4B,0A,01,0A,09,1066533632,33,0378,2021-08-25 05:12:28,R,316249327
00,D88039EC48E0,000E,15,4C,0A,01,0A,09,1066533632,33,0378,2021-08-25 05:22:29,R,316255087
00,D88039EC48E0,000E,15,4D,0A,01,0A,09,1066533632,33,0378,2021-08-25 05:32:30,R,316260808
00,D88039EC48E0,000E,15,4E,0A,01,0A,09,1066533632,33,0378,2021-08-25 05:42:31,R,316266534
00,D88039EC48E0,000E,15,4F,0A,01,0A,09,1066533632,33,0378,2021-08-25 05:52:32,R,316272219
00,D88039EC48E0,000E,15,50,0A,01,0A,09,1066533632,33,0378,2021-08-25 06:02:32,R,316277983
00,D88039EC48E0,000E,15,51,0A,01,0A,09,1066533632,33,0378,2021-08-25 06:12:33,R,316283673
00,D88039EC48E0,000E,15,52,0A,01,0A,09,1066533632,33,0378,2021-08-25 06:22:34,R,316289423
00,D88039EC48E0,000E,15,53,0A,01,0A,09,1066533632,33,0378,2021-08-25 06:32:35,R,316295150
00,D88039EC48E0,000E,15,54,0A,01,0A,09,1066533632,33,0378,2021-08-25 06:42:36,R,316300889
00,D88039EC48E0,000E,15,55,0A,01,0A,09,1066533632,33,0378,2021-08-25 06:52:36,R,316306633
00,D88039EC48E0,000E,15,56,0A,01,0A,09,1066533632,33,0378,2021-08-25 07:02:37,R,316312411
00,D88039EC48E0,000E,15,57,0A,01,0A,09,1066533632,33,0378,2021-08-25 07:12:38,R,316318142
00,D88039EC48E0,000E,15,58,0A,01,0B,09,1066533632,33,0378,2021-08-25 07:22:25,R,316323757
00,D88039EC48E0,000E,15,5A,0A,01,1C,09,1066533632,33,0378,2021-08-25 07:22:53,R,316324036
00,D88039EC48E0,000E,15,5B,0A,01,02,09,1167393536,33,0378,2021-08-25 07:23:18,R,316324297
00,D88039EC48E0,000E,15,5E,0A,01,02,09,1167393536,33,0378,2021-08-25 07:24:03,R,316324764
00,D88039EC48E0,000E,15,65,0A,01,02,09,1167393536,33,0378,2021-08-25 07:29:04,R,316327614
00,D88039EC48E0,000E,15,6A,0A,01,0A,09,1167393536,33,0378,2021-08-25 07:34:52,R,316331056
00,D88039EC48E0,000E,15,6C,0A,01,0A,09,1167393536,33,0378,2021-08-25 07:44:52,R,316336959
00,D88039EC48E0,000E,15,6D,0A,01,0A,09,1167393536,33,0378,2021-08-25 07:54:53,R,316342748
00,D88039EC48E0,000E,15,6E,0A,01,0A,09,1167393536,33,0378,2021-08-25 08:04:54,R,316348543
00,D88039EC48E0,000E,15,6F,0A,01,0B,09,1167393536,33,0378,2021-08-25 08:04:56,R,316348557
00,D88039EC48E0,000E,15,71,0A,01,1C,09,1167393536,33,0378,2021-08-25 08:05:39,R,316348967
00,D88039EC48E0,000E,15,72,0A,01,02,09,1435828992,33,0378,2021-08-25 08:06:03,R,316349168
00,D88039EC48E0,000E,15,76,0A,01,02,09,1435828992,33,0378,2021-08-25 08:06:49,R,316349604
00,D88039EC48E0,000E,15,80,0A,01,02,09,1435828992,33,0378,2021-08-25 08:11:49,R,316352509
00,D88039EC48E0,000E,15,8E,0A,01,02,09,1435828992,33,0378,2021-08-25 08:21:49,R,316358296
00,D88039EC48E0,000E,15,98,0A,01,02,09,1435828992,33,0378,2021-08-25 08:31:49,R,316364069
00,D88039EC48E0,000E,15,A0,0A,01,02,09,1435828992,33,0378,2021-08-25 08:41:49,R,316369901
00,D88039EC48E0,000E,15,A3,0A,01,07,09,1435828992,33,0378,2021-08-25 08:45:04,R,316371834
00,D88039EC48E0,000E,15,A4,0A,01,07,09,1435828992,33,0378,2021-08-25 08:45:48,R,316372272
00,D88039EC48E0,000E,15,A5,0A,01,07,09,1435828992,33,0378,2021-08-25 08:50:49,R,316375151
00,D88039EC48E0,000E,15,A6,0A,01,0A,09,1435828992,33,0378,2021-08-25 08:51:41,R,316375638
00,D88039EC48E0,000E,15,A8,0A,01,0A,09,1435828992,33,0378,2021-08-25 09:01:41,R,316381380
00,D88039EC48E0,000E,15,A9,0A,01,0A,09,1435828992,33,0378,2021-08-25 09:11:42,R,316387288
00,D88039EC48E0,000E,15,AA,0A,01,0A,09,1435828992,33,0378,2021-08-25 09:21:43,R,316393168
00,D88039EC48E0,000E,15,AB,0A,01,0A,09,1435828992,33,0378,2021-08-25 09:31:44,R,316399004
00,D88039EC48E0,000E,15,AC,0A,01,0A,09,1435828992,33,0378,2021-08-25 09:41:45,R,316404795
00,D88039EC48E0,000E,15,AD,0A,01,0A,09,1435828992,33,0378,2021-08-25 09:51:46,R,316410685
00,D88039EC48E0,000E,15,AE,0A,01,0A,09,1435828992,33,0378,2021-08-25 10:01:47,R,316416613
00,D88039EC48E0,000E,15,AF,0A,01,0A,09,1435828992,33,0378,2021-08-25 10:11:47,R,316422504
00,D88039EC48E0,000E,15,B0,0A,01,0A,09,1435828992,33,0378,2021-08-25 10:21:48,R,316428354
00,D88039EC48E0,000E,15,B1,0A,01,0A,09,1435828992,33,0378,2021-08-25 10:31:49,R,316434265
00,D88039EC48E0,000E,15,B2,0A,01,0A,09,1435828992,33,0378,2021-08-25 10:41:50,R,316440094
00,D88039EC48E0,000E,15,B3,0A,01,0A,09,1435828992,33,0378,2021-08-25 10:51:51,R,316445982
00,D88039EC48E0,000E,15,B4,0A,01,0A,09,1435828992,33,0378,2021-08-25 11:01:52,R,316451827
00,D88039EC48E0,000E,15,B5,0A,01,0A,09,1435828992,33,0378,2021-08-25 11:11:53,R,316457632
00,D88039EC48E0,000E,15,B6,0A,01,0A,09,1435828992,33,0378,2021-08-25 11:21:53,R,316463531
00,D88039EC48E0,000E,15,B7,0A,01,0A,09,1435828992,33,0378,2021-08-25 11:31:54,R,316469482
00,D88039EC48E0,000E,15,B8,0A,01,0A,09,1435828992,33,0378,2021-08-25 11:41:55,R,316475478
00,D88039EC48E0,000E,15,B9,0A,01,0A,09,1435828992,33,0378,2021-08-25 11:51:56,R,316481458
00,D88039EC48E0,000E,15,BA,0A,01,0A,09,1435828992,33,0378,2021-08-25 12:01:57,R,316487340
00,D88039EC48E0,000E,15,BB,0A,01,0A,09,1435828992,33,0378,2021-08-25 12:11:58,R,316493231
00,D88039EC48E0,000E,15,BC,0A,01,0A,09,1435828992,33,0378,2021-08-25 12:21:58,R,316499192
00,D88039EC48E0,000E,15,BD,0A,01,0A,09,1435828992,33,0378,2021-08-25 12:31:59,R,316505095
00,D88039EC48E0,000E,15,BE,0A,01,0A,09,1435828992,33,0378,2021-08-25 12:42:00,R,316510928
00,D88039EC48E0,000E,15,BF,0A,01,0A,09,1435828992,33,0378,2021-08-25 12:52:01,R,316516754
00,D88039EC48E0,000E,15,C0,0A,01,0A,09,1435828992,33,0378,2021-08-25 13:02:02,R,316522561
00,D88039EC48E0,000E,15,C1,0A,01,0A,09,1435828992,33,0378,2021-08-25 13:12:03,R,316528341
00,D88039EC48E0,000E,15,C2,0A,01,0A,09,1435828992,33,0378,2021-08-25 13:22:03,R,316534133
00,D88039EC48E0,000E,15,C3,0A,01,0B,09,1435828992,33,0378,2021-08-25 13:32:03,R,316539937
00,D88039EC48E0,000E,15,C5,0A,01,1C,09,1435828992,33,0378,2021-08-25 13:32:23,R,316540144
